demand_id,demand_name,demand_status,demand_desc,businessobjective,businessdesc,business_id,business_name,business_status,business_review_status,proj_approval_id,approval_status,approval_name,business_pm_name,responsible_dept_name,deadline,business_created_date,last_modified,importance,reason_type,department,begin_time,end_time,type,model
"1,007",结算平台分子公司清算模块微改造202506,closed,1、收退款日结算单，新增关闭/取消关闭功能<br />2、付款单管理，新增罚金，营销费用并入账，及查询条件优化<br />3、通用功能：按核算主体隔离筛选条件<br />4、收退款流水台账，按交易日期倒序<br />5、积分商旅卡，新增查询条件：业务小类<br />6、凭证逻辑：推送ERP界面按支付渠道，商户，科目顺序排序<br />,进一步完善系统使用体验、提升功能准确性与报表逻辑，实现系统功能性提升。为进一步秋实业务整合奠定基础。<br />,<p>分子公司清算上线后，根据使用情况需要做系统微改造</p><p>1、对测试订单数据、涉及外部代理分账报表资金不过秋实银行流水的、收退款正负零元无法推送的不做业务处理，方便财务次月核对推送金额是否和报表金额一致，校对是否有漏推送，不推送数据，做到应推尽推；</p><p>2、春煦业务场景需要，需要增加<span>罚金，营销费用类型；</span></p><p>3、目前秋实收款数据5月合计产生661条记录，所有收款数据按序排列可以方便财务校对资金流水是否正常导入或者第三方正常划拨，此外财务台账资金流水已经按照分子平台导入数据来对账；</p><p>4、新增业务小类方便筛选商旅和积分的不同业务类型，因业务数据按天推送总数据量达到500条以上，需要按照积分充值、消费、过期；820、920商旅卡消费来推送，并且校对推送数据是否正确；推送数据应该按照固定的逻辑进行展示，方便财务养成逻辑校对顺序，推送时就可以看到科目、金额、借贷方向是否正确。</p>,"2,142",结算平台分子公司清算模块微改造202506,已验收,wait,87.0,已结项,财务核算优化2025年度项目,陈洁霞,/春秋集团/春秋航空/财务部,2025-06-30 00:00:00,2025-06-17 16:01:12,2025-10-14 15:18:19,临时项目,businessCoverage,1000312,2025-01-03 00:00:00,2026-02-28 00:00:00,project,agileplus
"1,008",财务共享系统2025-1（外包）,closed,"<table class=""""MsoNormalTable ke-zeroborder"""" border=""""0"""" cellspacing=""""0"""" style=""""width:430.2pt;border:none;"""">  <tbody>    <tr>      <td width=""""48"""" style=""""background:#4472C4;"""">        <p class=""""MsoNormal"""" align=""""center"""" style=""""text-align:center;vertical-align:middle;""""><b>序号</b><b></b></p>      </td>      <td width=""""324"""" style=""""background:#4472C4;"""">        <p class=""""MsoNormal"""" align=""""center"""" style=""""text-align:center;vertical-align:middle;""""><b>解决方案方向</b><b></b></p>      </td>      <td width=""""421"""" style=""""background:#4472C4;"""">        <p class=""""MsoNormal"""" align=""""center"""" style=""""text-align:center;vertical-align:middle;""""><b>二开功能需求清单</b><b></b></p>      </td>    </tr>    <tr>      <td width=""""48"""">        <p class=""""MsoNormal"""" align=""""center"""" style=""""text-align:center;vertical-align:middle;"""">1</p>      </td>      <td width=""""324"""">        <p class=""""MsoNormal"""" style=""""vertical-align:middle;""""><span style=""""font-family:'宋体';color:#000000;font-size:10pt;"""">增加期间汇总功能</span><span style=""""font-family:'宋体';color:#000000;font-size:10pt;""""></span></p>      </td>      <td width=""""421"""">        <p class=""""MsoNormal"""" style=""""vertical-align:middle;""""><span style=""""font-family:'宋体';color:#000000;font-size:10pt;""""><span style=""""font-family:'宋体';"""">增加预算余额报表</span><span style=""""font-family:'宋体';"""">\预算个人余额报表期间汇总的功能</span></span><span style=""""font-family:'宋体';color:#000000;font-size:10pt;""""></span></p>      </td>    </tr>    <tr>      <td width=""""48"""">        <p class=""""MsoNormal"""" align=""""center"""" style=""""text-align:center;vertical-align:middle;"""">2</p>      </td>      <td width=""""324"""">        <p class=""""MsoNormal"""" style=""""vertical-align:middle;""""><span style=""""font-family:'宋体';color:#000000;font-size:10pt;"""">增加权限控制维度</span><span style=""""font-family:'宋体';color:#000000;font-size:10pt;""""></span></p>      </td>      <td width=""""421"""">        <p class=""""MsoNormal"""" style=""""vertical-align:middle;""""><span style=""""font-family:'宋体';color:#000000;font-size:10pt;"""">个人预算模板，增加人事部门（一级部门）查询条件和列项展现；做权限管理，提供行政专员名单，系统做权限分配。只能查看个人主岗对应一级部门下所有人的个人预算余额</span><span style=""""font-family:'宋体';color:#000000;font-size:10pt;""""></span></p>      </td>    </tr>    <tr>      <td width=""""48"""">        <p class=""""MsoNormal"""" align=""""center"""" style=""""text-align:center;vertical-align:middle;"""">3</p>      </td>      <td width=""""324"""">        <p class=""""MsoNormal"""" style=""""vertical-align:middle;""""><span style=""""font-family:'宋体';color:#000000;font-size:10pt;"""">增加权限控制维度</span><span style=""""font-family:'宋体';color:#000000;font-size:10pt;""""></span></p>      </td>      <td width=""""421"""">        <p class=""""MsoNormal"""" style=""""vertical-align:middle;""""><span style=""""font-family:'宋体';color:#000000;font-size:10pt;"""">个人预算余额报表和部门预算报表做分离，部门预算报表权限逻辑不变，分配个人预算余额报表的人员，不可查看部门预算。</span><span style=""""font-family:'宋体';color:#000000;font-size:10pt;""""></span></p>      </td>    </tr>    <tr>      <td width=""""48"""">        <p class=""""MsoNormal"""" align=""""center"""" style=""""text-align:center;vertical-align:middle;"""">4</p>      </td>      <td width=""""324"""">        <p class=""""MsoNormal"""" style=""""vertical-align:middle;""""><span style=""""font-family:'宋体';color:#000000;font-size:10pt;"""">修改发票销方校验</span><span style=""""font-family:'宋体';color:#000000;font-size:10pt;""""></span></p>      </td>      <td width=""""421"""">        <p class=""""MsoNormal"""" style=""""vertical-align:middle;""""><span style=""""font-family:'宋体';color:#000000;font-size:10pt;"""">机票电子行程单，销售方和收款方校验，销方取值改成填开单位</span><span style=""""font-family:'宋体';color:#000000;font-size:10pt;""""></span></p>      </td>    </tr>    <tr>      <td width=""""48"""">        <p class=""""MsoNormal"""" align=""""center"""" style=""""text-align:center;vertical-align:middle;"""">5</p>      </td>      <td width=""""324"""">        <p class=""""MsoNormal"""" style=""""vertical-align:middle;""""><span style=""""font-family:'宋体';color:#000000;font-size:10pt;"""">增加电子火车票退票标识</span><span style=""""font-family:'宋体';color:#000000;font-size:10pt;""""></span></p>      </td>      <td width=""""421"""">        <p class=""""MsoNormal"""" style=""""vertical-align:middle;""""><span style=""""font-family:'宋体';color:#000000;font-size:10pt;"""">增加电子火车票退票标识，退票的火车票不抵扣</span><span style=""""font-family:'宋体';color:#000000;font-size:10pt;""""></span></p>      </td>    </tr>    <tr>      <td width=""""48"""">        <p class=""""MsoNormal"""" align=""""center"""" style=""""text-align:center;vertical-align:middle;"""">6</p>      </td>      <td width=""""324"""">        <p class=""""MsoNormal"""" style=""""vertical-align:middle;""""><span style=""""font-family:'宋体';color:#000000;font-size:10pt;"""">付款备注默认值修改</span><span style=""""font-family:'宋体';color:#000000;font-size:10pt;""""></span></p>      </td>      <td width=""""421"""">        <p class=""""MsoNormal"""" style=""""vertical-align:middle;""""><span style=""""font-family:'宋体';color:#000000;font-size:10pt;""""><span style=""""font-family:'宋体';"""">增加付款备注默认值系统字典，例如对私付款默认值从无改成</span><span style=""""font-family:'宋体';"""">“报销费用”</span></span><span style=""""font-family:'宋体';color:#000000;font-size:10pt;""""></span></p>      </td>    </tr>  </tbody></table><br />","<p><span style=""""font-size:14px;font-family:SimSun;"""">1、因增加部门行政专员统一提交通费报销的业务场景，共享提供额度；</span></p><p><span style=""""font-size:14px;font-family:SimSun;"""">2、根据电子行程单的票面规则，调整OCR识别后的数据管理方式，</span><span style=""""color:#000000;font-family:SimSun;font-size:14px;"""">销方取值改成填开单位</span></p><p><span style=""""color:#000000;font-family:SimSun;font-size:14px;"""">3、数电发票-退票费的OCR识别能力缺失，需要补充，用于报销。</span></p><p><span style=""""color:#000000;font-family:'宋体';""""><span style=""""font-size:13.3333px;""""><span style=""""font-size:14px;font-family:SimSun;"""">4、兴业银行银企直连，付款备注严控3个字符以上并且有唯一性校验，增加</span><span style=""""color:#404040;font-family:SimSun;font-size:14px;"""">唯一性备注规则杜绝付款失败，减少财务返工。</span></span></span></p>","<p>1、因增加部门行政专员统一提交通费报销的业务场景，共享需要提供个人交通费额度查询的功能包括期间汇总、人事一级部门维度的权限管控；</p><p>2、根据电子行程单的票面规则，调整OCR识别后的数据管理方式，<span style=""""color:#000000;font-family:'宋体';font-size:13.3333px;"""">销方取值改成填开单位</span></p><p><span style=""""color:#000000;font-family:'宋体';font-size:13.3333px;"""">3、数电发票-退票费的OCR识别能力缺失，需要补充，用于报销</span></p><p><span style=""""color:#000000;font-family:'宋体';""""><span style=""""font-size:13.3333px;"""">4、兴业银行银企直连，付款备注严控3个字符以上，所有付款必须唯一不重复，不然支付报错；需要增加拼接规则</span></span></p>","2,143",财务共享系统2025-1（外包）,已验收,wait,938.0,研发测试阶段,财务共享优化项目（外包）2025年度项目,陈洁霞,/春秋集团/春秋航空/财务部,2025-06-17 00:00:00,2025-06-17 16:12:38,2025-10-14 11:14:57,临时项目,businessChange,1000312,2025-06-30 00:00:00,2025-12-15 00:00:00,project,agileplus
"1,009",财务共享系统2025-2（外包）,active,<p>1、获取单据信息：根据单据条码获取单据信息，验证单据状态是否可投递及获取发票数据进行票实匹配，验证单据影像为可上传状态，并打上单多啦上传的标识，后期不用推送归档。</p><p>2、OCR 识别接口：OCR 识别影像中的发票（不用直接对接厂商），并获取结构化数据（单线程调用：一个箱子投递10 个附件，这 10 个附件只能一个一个推送），用于单多啦票实匹配</p><p>3、实物单据状态推送接口：通知实物单据签收/已取出等状态，并展示在共享-实物单据管理和费用报销首页-我的单据页面</p><p>4、影像上传接口:校验影像状态后，可上传影像，且覆盖重复的发票影像信息。补扫则直接上传影像</p><p>5、影像驳回接口：财务驳回的时候，加一个按钮，让财务判断需不需要通知单多啦，影像被驳回之后，通知单多啦影像已被驳回，并驳回通知补扫还是重扫。单据作废或反冲后驳回影像。</p><p>6、单据归档接口：新增配置界面：按照规则：单据类型+业务类型+发票类型+归档节点+打印文件列表，单据凭证同步成功后，传送单多啦需要打印的 pdf 文件链接。(有校验重复、搜索功能）</p><p>7、获取中兴 token 接口:接口鉴权</p><p>8、获取单多啦 token 接口:接口鉴权</p>,完成共享系统-智能票据箱对接,<p>智能票据箱部署，共享需要配合做接口改造</p>,"2,144",财务共享系统2025-2（外包）,已取消,pass,938.0,研发测试阶段,财务共享优化项目（外包）2025年度项目,陈洁霞,/春秋集团/春秋航空/财务部,2025-07-17 00:00:00,2025-06-17 16:12:53,2025-09-28 17:56:42,临时项目,businessChange,1000312,2025-06-30 00:00:00,2025-12-15 00:00:00,project,agileplus
"1,010",财务共享系统2025-3（外包）,closed,"<p class=""""15"""">1、共享 <span style=""""font-family:'微软雅黑';"""">附加区的供应商切换后能自动带出对应的收款账户信息，包括的单据字段为：收款账户</span><span style=""""font-family:'微软雅黑';"""">/收款方、总行名称、收款银行/收款账号、SWIFT_CODE、总行号、分行号/联行号、账户名称、银行账号。现修改逻辑为：当收款账号选项数量</span><b><span style=""""font-family:'微软雅黑';"""">等于</span><span style=""""font-family:'微软雅黑';"""">1</span></b>时：默认选择并显示该唯一选项及对应的八个收款信息字段。当收款账号选项数量<b><span style=""""font-family:'微软雅黑';"""">大于</span><span style=""""font-family:'微软雅黑';"""">1</span></b>时：默认不选择任何选项，对应的八个收款信息字段显示空白<b>（银行账号唯一的维度判断）（某个核算主体下账号个数为判断）。</b> <span style=""""font-family:'微软雅黑';"""">涉及</span><span style=""""font-family:'微软雅黑';"""">PC端单据为：供应商费用报销单、对外预付单、挂账付款单、机票酒店差旅单。</span></p><p class=""""15""""><span style=""""font-family:'微软雅黑';""""></span></p><p class=""""15""""><img src=""""{26546.png}"""" alt="""""""" /></p><p><br /></p><p class=""""15""""><span style=""""font-family:'微软雅黑';"""">2、</span><span style=""""font-family:'微软雅黑';"""">部门带出的默认成本中心改造为：人事系统提供标签，部门所属成本中心，提单的时候排位在第一个;</span><span style=""""font-family:'微软雅黑';""""><br /> </span></p><p class=""""15""""><span style=""""font-family:'微软雅黑';"""">3、</span><span style=""""font-family:'微软雅黑';""""> </span><span style=""""font-family:'微软雅黑';"""">记录财务审核首次打开单据的时间：</span><span style=""""font-family:'微软雅黑';"""">记录财务审核首次打开单据的时间，有可能就打开看看，没有点击审批或同意。这个放在任务历史</span><span style=""""font-family:'微软雅黑';""""><br /></span><span style=""""font-family:'微软雅黑';"""">4、 </span><span style=""""font-family:'微软雅黑';"""">隐藏个人中心下载、导入按钮，禁止维护非本人户名账号</span></p><p class=""""15""""><span style=""""font-family:'微软雅黑';""""></span></p><p class=""""MsoNormal"""" style=""""margin-left:21.25pt;text-indent:-21.25pt;vertical-align:middle;"""">3.、单多啦提示窗修改：<span>封面打印弹窗提示内容需做进一步拆分，并将弹窗内容显示在封面醒目位置：</span><span style=""""font-family:'微软雅黑';"""">目前打印封面的弹窗提示仅在不需要单多啦投递的情况下有一种提示，实际需要根据单多啦配置表分</span><span style=""""font-family:'微软雅黑';"""">3种情况分别做不同提示，同时将弹窗内容显示在封面醒目位置：</span></p><p class=""""MsoNormal"""" style=""""margin-left:21.25pt;text-indent:-21.25pt;vertical-align:middle;"""">  </p><p class=""""MsoNormal""""><span style=""""font-family:'微软雅黑';"""">（</span><span style=""""font-family:'微软雅黑';"""">1）配置表=需投递+不打印：封面打印弹窗：单据请投递至单多啦智能收单机；</span><br /><span style=""""font-family:'微软雅黑';"""">（</span><span style=""""font-family:'微软雅黑';"""">2）配置表=不需投递+打印：封面打印弹窗：单据不需打印或投递，智能收单机将自动打印归档；</span><br /><span style=""""font-family:'微软雅黑';"""">（</span><span style=""""font-family:'微软雅黑';"""">3）配置表=不需投递+不打印：封面打印弹窗：请将单据封面及附件交至归档员处；</span><br /><span style=""""font-family:'微软雅黑';"""">（</span><span style=""""font-family:'微软雅黑';"""">4）配置表未做登记：无封面打印弹窗。</span></p><p class=""""MsoNormal"""" style=""""margin-left:21.25pt;text-indent:-21.25pt;vertical-align:middle;""""><br /></p><p class=""""MsoNormal"""" style=""""margin-left:21.25pt;text-indent:-21.25pt;vertical-align:middle;"""">4、单多啦状态修改</p><p class=""""MsoNormal"""" style=""""margin-left:21.25pt;text-indent:-21.25pt;vertical-align:middle;"""">  </p><table class=""""MsoNormalTable ke-zeroborder"""" border=""""0"""" cellspacing=""""0"""" style=""""width:376.95pt;border:none;"""">    <tbody>      <tr>        <td width=""""449"""">          <p class=""""MsoNormal"""" style=""""vertical-align:middle;""""><span style=""""font-family:'微软雅黑';color:#000000;font-size:10pt;"""">审批筛选项中字段【单多啦状态】需要做进一步拆分：</span><span style=""""font-family:'微软雅黑';color:#000000;font-size:10pt;""""><br /></span><span style=""""font-family:'微软雅黑';color:#000000;font-size:10pt;""""><span style=""""font-family:'微软雅黑';"""">单多啦状态现在无需投递涵盖了不要交单的自助打印</span><span style=""""font-family:'微软雅黑';"""">+需要交单的人工收单两种类型的单据，现在这个状态应做进一步细分。</span></span><span style=""""font-family:'微软雅黑';color:#000000;font-size:10pt;""""><br /></span><span style=""""font-family:'微软雅黑';color:#000000;font-size:10pt;""""><span style=""""font-family:'微软雅黑';"""">（</span><span style=""""font-family:'微软雅黑';"""">1）配置表=需投递+不打印：单多啦状态：待投递；</span></span><span style=""""font-family:'微软雅黑';color:#000000;font-size:10pt;""""><br /></span><span style=""""font-family:'微软雅黑';color:#000000;font-size:10pt;""""><span style=""""font-family:'微软雅黑';"""">（</span><span style=""""font-family:'微软雅黑';"""">2）配置表=不需投递+打印：单多啦状态：自动打印；</span></span><span style=""""font-family:'微软雅黑';color:#000000;font-size:10pt;""""><br /></span><span style=""""font-family:'微软雅黑';color:#000000;font-size:10pt;""""><span style=""""font-family:'微软雅黑';"""">（</span><span style=""""font-family:'微软雅黑';"""">3）配置表=不需投递+不打印：单多啦状态：待投递归档员；</span></span><span style=""""font-family:'微软雅黑';color:#000000;font-size:10pt;""""><br /></span><span style=""""font-family:'微软雅黑';color:#000000;font-size:10pt;""""><span style=""""font-family:'微软雅黑';"""">（</span><span style=""""font-family:'微软雅黑';"""">4）配置表未做登记：单多啦状态：无需投递。</span></span><span style=""""font-family:'微软雅黑';color:#000000;font-size:10pt;""""></span></p>        </td>      </tr>    </tbody>  </table><p class=""""MsoNormal"""" style=""""margin-left:21.25pt;text-indent:-21.25pt;vertical-align:middle;"""">5.、PS系统员工账号更新：查找创建人是否为-1，判断是否说共享手工新增；唯一性字段为ID：(工号+银行号+分行号+账号+账户名称，账户名称含日语、英语、中文)</p><p class=""""MsoNormal"""">6、PS系统对部门所属成本中心增加默认标识</p><p><br /></p>","<p>1、共享<span style=""""font-family:'微软雅黑';"""">支付区收款账号存在多个的时候，强制业务思考选哪个，避免提单错误；</span></p><p><span style=""""font-family:'微软雅黑';"""">2、共享报销时带出人事部门和成本中心默认组合</span><span style=""""font-family:'微软雅黑';"""">，避免提单错误；</span><span style=""""font-family:'微软雅黑';""""><br /></span></p><p><span style=""""font-family:'微软雅黑';"""">3、共享大屏需要统计财务工作效能，需要对财务首次打开单据的时间，来计算财务审单时长</span></p><p><span style=""""font-family:'微软雅黑';"""">4、杜绝员工滥用个人账号维护非本人账号的风险隐患。</span></p><p><span style=""""font-family:'微软雅黑';"""">5、共享对接单多啦票据箱，需要增加提示窗口，便于用户操作</span></p><p><span style=""""font-family:'微软雅黑';"""">6、归档员工作台查询条件优化，便于区分人工归档&amp;票据箱投递的单据<br /></span></p><p>7、共享接收PS系统银行账号失效标签，杜绝支付失败的风险隐患</p><br />","<p>1、共享<span style=""""font-family:'微软雅黑';"""">支付区收款账号存在多个的时候，系统随机默认一个账号，导致业务盲选，错付；</span></p><p><span style=""""font-family:'微软雅黑';"""">2、</span><span style=""""font-family:'微软雅黑';"""">部门带出的默认成本中心是随机的，导致员工提单不仔细，流程和实际预算扣减部门不准确；</span><span style=""""font-family:'微软雅黑';""""><br /></span></p><p><span style=""""font-family:'微软雅黑';"""">3、共享大屏需要统计财务工作效能，需要对财务首次打开单据的时间，来计算财务审单时长</span></p><p><span style=""""font-family:'微软雅黑';"""">4、存在员工滥用个人账号维护功能的风险隐患，需要对个人银行账号维护功能做管控。</span></p><p><span style=""""font-family:'微软雅黑';"""">5、共享对接单多啦票据箱，需要增加提示窗口:</span></p><p><span style=""""font-family:'微软雅黑';"""">6、归档员工作台查询条件优化，便于区分人工归档&amp;票据箱投递的单据<br /> </span></p><p>7、PS系统账号失效后，失效标签未同步共享，导致前台提单会错选</p><p>8、成本中心和人事组织是多对多的关系，现在缺少默认标签，导致业务经常错选，占错预算</p><p><br /></p>","2,145",财务共享系统2025-3（外包）,已验收,wait,938.0,研发测试阶段,财务共享优化项目（外包）2025年度项目,陈洁霞,/春秋集团/春秋航空/财务部,2025-08-31 00:00:00,2025-06-17 16:13:06,2025-12-12 14:37:46,临时项目,businessChange,1000312,2025-06-30 00:00:00,2025-12-15 00:00:00,project,agileplus
"1,019",人事部门和成本中心关系同步数据中心增加兼岗明细,closed,"<p>增加需求，数据中心的<span style=""""color:#000000;font-family:'KaiTi_GB2312';font-size:14px;background-color:#FFFFFF;"""">人事部门-成本中心关系表，增加所有员工的兼岗明细，岗位类型做好注明：主岗、兼岗，需要有生效日期和失效日期，同步后</span><span style=""""background-color:#FFFFFF;color:#000000;font-family:'KaiTi_GB2312';font-size:14px;"""">下游系统可以调取使用，包括不仅限于共享系统、合同管理系统。</span></p>","<p class=""""MsoNormal"""" style=""""background-color:#FFFFFF;""""><span style=""""font-family:'宋体';"""">提单岗位找直属人事部门，人事部门</span><span style=""""font-family:Calibri;"""">PS</span><span style=""""font-family:'宋体';"""">默认的成本中心，优先展示，减少错选情况。</span></p>","<p><span style=""""background-color:#FFFFFF;""""><span style=""""background-color:#FFFFFF;font-family:'KaiTi_GB2312';font-size:14px;"""">业务在财务系统、合同管理系统</span></span><span style=""""background-color:#FFFFFF;font-family:'KaiTi_GB2312';font-size:14px;"""">提单，是要选择一个</span><span style=""""background-color:#FFFFFF;"""">&nbsp;</span><span style=""""background-color:#FFFFFF;font-family:'KaiTi_GB2312';font-size:14px;"""">“人事组织</span><span style=""""background-color:#FFFFFF;font-family:'KaiTi_GB2312';font-size:14px;"""">+</span><span style=""""background-color:#FFFFFF;font-family:'KaiTi_GB2312';font-size:14px;"""">成本中心 ”组合，人事组织是用于审批流，自动流转到人事部门对应的负责人审批，成本中心，适用于会计核算分摊入账</span><span style=""""background-color:#FFFFFF;font-family:'KaiTi_GB2312';font-size:14px;"""">+</span><span style=""""background-color:#FFFFFF;font-family:'KaiTi_GB2312';font-size:14px;"""">预算管控。<span style=""""background-color:#FFFFFF;color:#000000;font-size:14px;font-family:'KaiTi_GB2312';"""">因为存在很多</span><span style=""""background-color:#FFFFFF;color:#000000;font-size:14px;font-family:'KaiTi_GB2312';"""">主岗岗位在A部门，薪酬分摊在B部门的情况，员工提单不仔细勾选，会出现B部门预算被占用，但是审批人是A部门。</span></span><span style=""""background-color:#FFFFFF;font-family:'KaiTi_GB2312';font-size:14px;""""></span><span style=""""background-color:#FFFFFF;""""></span></p><p><span style=""""background-color:#FFFFFF;"""">人事部门和成本中心关系同步数据中心实施后，发现兼岗数据未能完整展现，实际兼岗数据在业务场景中是需要使用。</span></p>","2,150",人事部门和成本中心关系同步数据中心增加兼岗明细,已验收,wait,754.0,已结项,财务成本管控优化2025年度项目,陈洁霞,/春秋集团/春秋航空/财务部,2025-07-31 00:00:00,2025-06-19 11:03:18,2025-11-24 10:19:46,临时项目,businessCoverage,1000312,2025-01-18 00:00:00,2025-12-31 00:00:00,project,agileplus
"1,048",财务投融RPA迁移需求,closed,<p>财务和投融，PRA主机迁移到IT机房，并做技术调试</p><p>财务RPA014：GDS推送ERP公差票凭证</p><p>投融RPA014：RZZL付款申请创建</p>,<span>PRA主机放IT机房统一管理</span>,<p>财务和投融，目前有两个PRA主机还停留在办公区域自行保管并24小时开机，因网络安全要求，需要统一迁移到IT机房，迁移后需要技术调试</p><p>财务<span>RPA014</span>：GDS推送ERP公差票凭证</p><p>投融RPA014：RZZL付款申请创建</p>,"2,181",财务投融RPA迁移需求,已验收,wait,87.0,已结项,财务核算优化2025年度项目,陈洁霞,/春秋集团/春秋航空/财务部,2025-07-31 00:00:00,2025-07-01 13:26:31,2025-10-30 17:40:00,临时项目,businessChange,1000312,2025-01-03 00:00:00,2026-02-28 00:00:00,project,agileplus
"1,056",预算绩效管理系统权限管控需求,active,"<p class=""""MsoNormal"""">一、数据权限问题</p><p class=""""15"""" style=""""margin-left:18pt;text-indent:-18pt;"""">l <span style=""""font-family:'等线';"""">业务开通权限后，在系统的各个页面中，提报人、项目负责人、审批人都只能访问自己提报</span><span style=""""font-family:'等线';"""">/负责/审批的项目内容，不能看到其他项目内容。</span></p><p class=""""15"""" style=""""margin-left:18pt;text-indent:-18pt;"""">l 解决如果项目负责人、审批人离职，相关权限支持交接给新员工。</p><p class=""""15"""" style=""""margin-left:18pt;text-indent:-18pt;"""">l 考虑是否保留开通部门级权限的情况，如给某位员工开通本部门的所有数据权限。</p><p class=""""MsoNormal"""">二、界面问题</p><p class=""""15"""" style=""""margin-left:18pt;text-indent:-18pt;"""">l 资源投入模块里，加一行纵向合计数（仅在合计金额和年度金额下面加）。</p>","<p class=""""15"""" style=""""margin-left:18pt;text-indent:-18pt;"""">l&nbsp;业务开通权限后，提报人、项目负责人都只能看到自己提交的项目内容，不能看到其他项目内容。</p><p class=""""15"""" style=""""margin-left:18pt;text-indent:-18pt;"""">l&nbsp;减少敏感数据泄露风险。</p><p class=""""15"""" style=""""margin-left:18pt;text-indent:-18pt;"""">l&nbsp;提高领导审批效率。每次下载，EXCEL计算数据耗时5分钟，基于24年的项目数量26,8审批人，节约2人天/年</p>","<p class=""""MsoNormal"""">一、数据权限问题</p><p class=""""15"""" style=""""margin-left:18pt;text-indent:-18pt;"""">l <span style=""""font-family:'等线';"""">当前数据权限仅通过</span><span style=""""font-family:'等线';"""">“角色管理”页面来设置。</span></p><p class=""""15"""" style=""""margin-left:18pt;text-indent:-18pt;"""">l <span style=""""font-family:'等线';"""">所有开通权限的用户均可查看</span>/操作全量项目数据，无论数据归属者是谁。</p><p class=""""15"""" style=""""margin-left:18pt;text-indent:-18pt;"""">l 如：开通项目负责人权限的人员，可以看到系统内所有项目数据，不管是不是自己负责的。开通项目审批人权限的人员，可以看到系统内所有已审批的项目数据，不管是不是自己审批的。</p><p class=""""15"""" style=""""margin-left:18pt;text-indent:-18pt;"""">l 项目提报人权限是否可以看到其他提报项目因为没法在正式环境下测试，未验证。</p><p class=""""15"""" style=""""margin-left:18pt;text-indent:-18pt;"""">l 存在项目敏感数据被非相关人员获取的风险。</p><p class=""""MsoNormal"""">二、界面问题</p><p class=""""15"""" style=""""margin-left:22pt;text-indent:-22pt;"""">l 资源投入模块里，没有纵向合计数，领导审批时需要手工加总，较为不便。</p><p class=""""MsoNormal""""><img src=""""{28096.png}"""" alt="""""""" /></p><p class=""""MsoNormal""""> </p>","2,194",预算绩效管理系统权限管控需求,草稿,wait,,,,,,2025-09-30 00:00:00,2025-07-07 11:27:53,,,userExperience,1000312,,,,
"1,070",财务共享系统运维保障服务2025.8.1-2026.7.31,closed,签订共享运维协议，由供应商提供运维保障，同时约定人天单价，用于业务场景变化、安全合规要求提升而产生的二开需求,<p>共享系统供应商可以持续保障，提供运维服务。</p><p><br /></p><p>纯运维项目请编写立项文档走OA邮件，立项</p>,财务共享系统是财务报账、预算管控的核心系统，属于外采系统，需要通过运维协议，供应商提供运维保障。,,,,,,,,,,2026-07-31 00:00:00,,,,,1000312,,,,
"1,082",关于单售系统和订座系统关联销售订单分账报表数据,closed,<p>请订座或者单售系统开发一张分账报表，对代销业务费下订单联合单售销售的产品进行一个分账推送不同会计核算科目。</p><p><br /></p><p>1、将省钱卡、迪斯尼门票用二个X产品进映射，分解到B2C X产品营收中，财务针对相应的产品进行业务财务的会计科目配置。</p>,希望项目在第四季度前上线,现在机+省钱卡、迪斯尼门票业务都放在订座系统的代销业务费类目下推送入ERP，但是相关数据没有做到拆分到不同会计科目入账，现阶段需要靠IT提取后台数据，财务根据产品定价手工区分结算资金，这对现在结算收入方面非常不便，且后续还有机+单售产品的上线会有分账影响。,,,,,,,,,,2025-10-31 00:00:00,,,,,1000312,,,,
"1,083",关于DG便利店新签约平台支付对账和退款对账文件格式变化,active,现在随着新签约平台上线后，老数据包替换成新格式，特此需要改造完成后才能导入对账。支付对账数据和退款对账数据。,对账数据可以正常导入，分解报表对账。,DG便利店新签约协议已经完成，系统改造也已经上线，目前财务报表的支付对账和退款对账数据导入的数据格式仍然延用老平台数据包。,,,,,,,,,,2025-10-31 00:00:00,,,,,1000312,,,,
